"sub"	"oe"	"covid_vax_attitude"
583	"The specific reasons I searched were the side effects. Being tired and headaches are one thing, but blood clots and facial paralysis is entirely different."	"Neutral"
584	"I looked at all of the information."	"Pro"
585	"I was mostly concerned with getting Covid, or getting severe Covid. The side effects are so low, I wasn't concerned with that."	"Pro"
586	"No specific reason aside from just reading the data points."	"Pro"
587	"I have a bias against medical technology that originates in China so China was knocked out consistently.  Next, how effective was the vaccine in  preventing death, then severe infection and lastly infection at all.  Lastly I measured severe side effects vs uncomfortable side effects.  Severe being judged upon the numbers as more important."	"Pro"
588	"I had to look at all the information presented me.\nIn order to weigh\u2014you know\u2014the pros against the cons.\nAs you saw, there were some vaccines I specifically denounced.\nI denounced some of these: and I feel sorry for those individuals who were stuck with such inferior options.\n\nWhat did you mean by \severe muscle pain \ by the way?\nIs that the feeling one normally gets, eventually, by way of one's immune system kicking up its inflammatory response to the foreign invaders?\n(The \terr'ists \ as George W. would say\u00bf)\nOr is this a severity above and beyond the normal \flu-like\ experience?"	"Pro"
589	"I looked at every single box for every single vaccine to have the most information possible."	"Pro"
590	"I made sure to look at all the pro's and con's even if I decided against on each. Anything with 95% efficacy or less was an immediate dismissal. Unfortunately the sever side-effects of the more effective vaccines, while unlikely, where very off-putting. As far as I'm aware, past vaccines weren't really allowed to be made publicly available if a good number of people were having moderate reactions ... much less severe to life threatening ones.\n\n((I don't know if I'll get to mention the part where I was asked to pay to AVOID being vaccinated, but I put $0 on that not because I was on the fence but I felt that was some weirdly dystopian measure that I'd not put money into out of principle.))"	"Neutral"
591	"The protection from the initial virus was the most important thing for me."	"Pro"
592	"I got COVID and had no symptoms. It would only protect me and I don't feel like I need it. I didn't really do much research"	"Anti"
593	"Most research centered around possible side effects and their severity."	"Neutral"
594	"When evaluating each vaccine, I mainly considered how high the percentage was for protection from severe COVID infection and death as well as the degree of the risk of severe complications that could be long-term. I most strongly favor vaccines that have a very high percentage of protection against severe infection and death from COVID and also have a relatively low risk of severe complications that I assume could be long-term."	"Pro"
595	"I feel like there needs to be more data available in order for me to take any Covid 19 vaccines."	"Anti"
596	"I feel that I searched with equal amounts of fear of negative effects, and enthusiasm for good results. I tried not to let country of origin be a primary factor, but there are some countries I'd avoid, either because they are hostile to us, or I don't know enough about their technology to trust it. For example, Russia was not on the list, but it had been, that would have been an automatic \no\ based on both of those reasons. I avoided vaccines if it seemed if I felt there was an unreasonable risk of a dangerous side effect, such as blood clots or heart inflammation, but I have no problem with the normal immune response side effects I'm used to - tiredness, muscle pain, fever, etc. I was excited about some of the positive stats. They triggered thoughts of the \normal\ things I could do if vaccinated with that choice."	"Pro"
597	"null"	"Neutral"
598	"I really just paid attention to the science and news about it."	"Pro"
599	"I did not search for information about the vaccines in the choice task."	"Anti"
600	"I looked at all of the information for each vaccine in the task, to get a clear idea of the risks and benefits of each vaccine.  I paid close attention to the risks, especially when they were very high (like 100,000 in 1,000,000), because I definitely wanted to avoid those vaccines."	"Pro"
601	"I just tried to get a general feel of the effectiveness versus side effects and seriousness of those side effects."	"Neutral"
602	"I looked at all the information available."	"Pro"
603	"I have been reading peer reviewed clinical trial journals like the Lancet for the past two years and am not a vaccine advocate."	"Anti"
604	"I was more concerned with the possible side effects than the possible benefits. I first wanted to know what possible side effects there were, then how likely each side effect was before I even went over the benefits columns. Then if the benefits weren't all that great either, I didn't want anything to do with the vaccine. To me the possible side effects themselves were also more important than the probability of those side effects happening. Just the fact that it happens enough that it is considered a side effect at all is enough for me to be too afraid to get the vaccine."	"Anti"
605	"This is what I have learned about how sneakie and underhanded the media has been. Instead of letting the facts speak for themselves and letting people make their own choices devoid of media bias, the media made it very hard to trust any info out there by removing anything and everything they do not agree with and putting in their pie in the sky ideas and people saw this and it really ruined many peoples trust in the media and government agencies and good luck getting that back."	"Neutral"
606	"I simply hovered my mouse over the risks and side effects first, which often resulted in me ruling out vaccines if they had high incidence of severe side effects. However, I waited to hover over the protections and effectiveness info also before making my final decision of whether to get the vaccine or not. I was searching for vaccines that had high levels of effectiveness in preventing infection, serious symptomatic infection, and death, especially, from COVID-19."	"Pro"
607	"I asked around which vaccination was better and so I went with Moderna as it seem to have fewer after-effects."	"Anti"
608	"Well, in the beginning I knew I would never agree to get a vaccine, but I did look at the info.  I would never get one from China.  I looked at side effects and no matter how small the percentage I didn't want to be one of them who suffered.  This vaccine is a political stunt.  I've known fully vaccinated people in perfect health getting covid and put on a vent and dying.  I'll take my chances.  I use supplements to pump up my immune system.  The government should focus on diabetes and things like that!!!!!"	"Anti"
609	"I simply hovered over each option, read the information and made my choice."	"Anti"
610	"I did check out the Moderna and Pfizer prior to being vaccinated, CVS offered Moderna and I took it, it seemed the best of the three, the third is J&J."	"Pro"
611	"I'm not to sure I would take some I didn't want to"	"Pro"
612	"Other than the potential risks and benefits presented to me, I found myself trying to remember the information regarding covid-19 vaccines I heard or read in the news. I think the country origin of the vaccine is very important to determine the trustworthiness of the vaccine itself. I first looked at the country, and then the risks, and lastly the benefits of the vaccine."	"Pro"
613	"They were the only vaccines available to me, so I had no choice - it was decided for my through local availability."	"Neutral"
614	"null"	"Pro"
615	"I was diagnosed with stage 4 lung cancer that metastasized to my brain in 2016, I was given 6 months to live. I have been maskless ever since Covid broke in the news in early 2020, I'm still here."	"Anti"
616	"I paid close attention to the country of origin, I would be more afraid to get a vaccine from China. I honestly do not feel comfortable getting the Covid vaccine yet as there is just not enough information regarding long-term and future side effects or complications. So it was difficult for me to feel positive about any of the vaccine choices."	"Anti"
617	"i already knew the information except for a few of the vaccines."	"Anti"
618	"I would characterize my search behavior as highly skeptical of any data presented by big pharma or their lackys as throughout this whole ordeal they have been deceptive and wrong."	"Anti"
619	"I was mostly concerned with severe side effects"	"Neutral"
620	"I did not have a specific reason in regards to the way that I searched for information in the choice task. To be honest, I wanted to gather all information that was provided for each vaccine. Even with the amount of data that was presented, I was not willing to take any vaccination."	"Anti"
621	"I don't want to get a vaccine mainly because cells used from aborted fetuses were used in the research and testing stages of most vaccine production. So, I tried to see if any info was provided on vaccines that didn't use aborted fetal cells in any stage but this wasn't provided. So, I just hit the no option for each vaccine. I wasn't sure if the viral vaccines or subunit vaccines were fetal cell free. I wish that info had been provided. There's got to be a vaccine out there that doesn't use aborted fetal cells in any stage. I also tried looking at the side effects closely. Even if there's a small risk, I'd rather be safe than sorry."	"Anti"
622	"Trust was a big factor for me. Not all developers are trustworthy in my opinion. I believe at least one (i.e., Pfizer) has ulterior motives for some of their actions and I don't feel a need to enrich the company at my own medical risk. In addition to that, I determined the seriousness of the side effects in comparison to the likelihood that it would actually affect me personally. If it's something I could live with, such as muscle pain, tiredness, etc., then I am more likely to take the risk and get the vaccine."	"Neutral"
623	"I just wanted to make sure the benefits outweighed the side effects for me. I'm a mom of three kids so I have to worry about how much they would affect me."	"Anti"
624	"I just tried to get the information. I went about it the best way I know how. Look at the facts and make the best informed decision possible."	"Pro"
625	"I mainly focused on the severity such as blood clots and heart inflammation."	"Anti"
626	"I would look at the amount it would protect against against and if it was worth it based on the side effects"	"Neutral"
627	"no"	"Neutral"
628	"I looked for the severity of major side effects and balanced that with the level of protection."	"Pro"
629	"Not sure what you mean by search behavior? I did not do any searching."	"Pro"
630	"no"	"Anti"
631	"No"	"Anti"
632	"I don't want any type of covid vaccine anywhere near me period and I'm not going to pay money to keep it that way either"	"Anti"
633	"I searched to stay updated."	"Pro"
634	"none and I didn't pay for my immunizations and am planning to get the 4th booster"	"Pro"
635	"I do not want to take any vaccine. I went ahead and looked through the information but I rejected all vaccine choices. I worry about long term side effects of the vaccines that may be unknown currently."	"Anti"
636	"null"	"Pro"
637	"I looked for the effectiveness of being infected by covid 19"	"Pro"
638	"how effective they were, or if the side effects were serious."	"Neutral"
639	"i looked at every box and prioritized the US vaccines over all others. i know people that have had all 3 and they didnt have a reaction, so I assume they are safe."	"Neutral"
640	"From google and my knowledge of my research the past couple years."	"Anti"
641	"I wouldn't take vaccine from China or India. J&J and AstraZeneca have known issues. Moderna has some too. Safest is Pfizer but even that is obsolete. This study avoids the issue of effectiveness against new variants."	"Neutral"
642	"no"	"Neutral"
643	"none"	"Neutral"
644	"I avoided  side effects more than looking at level of protection."	"Neutral"
645	"not at all.  just used common sense and tried to take in as much information as possible and put myself in each individual situation"	"Neutral"
646	"Chances of side effects against chances of getting."	"Neutral"
647	"The main things I searched for was how effective it was and how low the risks were when it came to having side effects."	"Anti"
648	"I chose based on the risk versus the reward."	"Neutral"
649	"I reviewed information from left to right so that I did not miss any details."	"Anti"
650	"I looked at all of the information before responding but if the vaccine was from China I knew I would say no regardless.  ALSO, I thought a key piece of information was missing.  How long would the vaccine be effective.  90% sounds amazing until you learn that effectiveness drops off a cliff after 30, 60, 90 days."	"Anti"
651	"I looked at the risks, possible side-effects to determine whether or not I'd be okay with the vaccination. Most of the time, I just went from left to right, but I definitely made the choices based on side effects and the frequencies of them."	"Anti"
652	"I looked at the health risks and if the benefits were worth these risks."	"Neutral"
653	"I do not trust mRNA and did not want to get injected if it provided little immunity"	"Anti"
654	"I looked mostly at the Effective rates of protection"	"Neutral"
655	"I looked at the info, but no info provided could have outweighed the research I've done on my own, using both the CDC website own information, WHO's information etc. Anyone with half a brain would know that, based on the info those sites alone provided, COVID was never a danger to anyone without at least 4 pre-existing co-morbidities or that were elderly (stats from the CDC.) And let's be for real, old people catch and die from common colds that turn into pneumonia all the time. Anything takes them out because they have weakened immune systems."	"Anti"
656	"I looked at all the information, but the severity of the side effects made the biggest impact"	"Neutral"
657	"Would not want a vaccine with potential for severe side effects."	"Neutral"
658	"I prioritized looking at the risks and associated percentages. I didn't care as much about the country of origin and was neutral about the protection against COVID. I think my search behavior was very much focused on the negatives rather than positives or any \demographic\ information."	"Anti"
659	"There were no specific reasons for how I searched for information. I wouldn't characterize my search behavior in any way in particular, I just went with my gut feelings."	"Anti"
660	"Just search for the ones that lined up with better statistics compared to the other vaccines."	"Neutral"
661	"I looked at the potential side effects and effectiveness against COVID-19."	"Anti"
662	"I looked at every category."	"Anti"
663	"I looked mostly at the side affects and how dangerous they may be."	"Anti"
664	"I am not getting vaccinated - those statistics for negative symptoms are 'watered' down and are much worse and the effectiveness is also a lot lower.  It's not worth chancing."	"Anti"
665	"I looked at side effects first, if they were too great I wouldn't want to get the vaccine no matter how awesome it was.  Then I looked at the benefits, if they were high (for me 90's felt good) then I went back and double checked the side effects.  But also, if there was a low chance of success, why bother and risk the side effects."	"Neutral"
666	"I would compare the most severe side effects to the most common and weigh the options."	"Neutral"
667	"I searched for the most popular and highest percentage."	"Anti"
668	"I searched on how effective first then on any negative issues that were reported."	"Neutral"
669	"type of vaccine"	"Neutral"
670	"null"	"Pro"
671	"where it was made and the side effects"	"Anti"
672	"I only looked for clarification on things that I didn't understand or that were relevant to me."	"Anti"
673	"My main concerns lie in finding out statistical evidence of how many people the vaccine is most likely to benefit along with what they could potentially be and how severe they could get."	"Pro"
674	"null"	"Anti"
675	"I looked for low and high numbers and really avoided anything that was not almost perfect."	"Anti"
676	"My vaccine research was frantic and fully based on fear."	"Neutral"
677	"I looked percentages of people in the risk and benefits categories."	"Neutral"
678	"no i just know a lot of people who got the vaccine and still got very sick from covid i have not got the vaccine and have not had covid"	"Anti"
679	"No"	"Neutral"
680	"I looked at all the side effects first to see how severe they were.  I then looked at the effectiveness to see how well it would work.  I then would think about if the side effects would be worth it."	"Anti"
681	"I looked at risks and benefits when it was a vaccine I might consider such as one which was not mRNA and not made in China."	"Anti"
682	"I just reacted to side effects mostly, I did consider efficacy but chose to focus more on the side effects and what I feared"	"Pro"
683	"I'm not sure what this means by search for information. If it means just hovering over the side effects and stuff, I just read through all of it, weighed whether I would rather get covid or X side effect, and chose from there."	"Anti"
684	"I just looked at the risks and weighed whether or not I thought the benefits outweighed them."	"Neutral"
685	"I just looked at what the risks were and none of them were worth it to me."	"Anti"
686	"i am not at risk so i didn't want to deal with negative long term effects"	"Anti"
687	"I was mostly focused on the protection from getting infected, as well as any side effects and the likelihood of them. I've only had COVID once, but that time was hell, and if I felt free to get vaccinated I would do it to avoid getting COVID again. I wasn't bothered by seemingly minimal side effects like headaches, but only stayed away from more severe effects if a lot of people were getting them."	"Neutral"
688	"I just looked at all aspects overall"	"Neutral"
689	"I searched to find out what the outcome of death behind taking the vaccine.    I finally decided the benefits outweighed the bad."	"Pro"
690	"null"	"Pro"
691	"No, I just looked through all the information and made a decision."	"Neutral"
692	"I would focus on the effectiveness of the vaccine in the chances of getting the virus after getting the vaccine and if that reflected the risk of symptoms."	"Pro"
693	"No, I just went down to my pharmacy and got whatever brand was available."	"Neutral"
694	"If there were severe risks\/side effects, I did not want to have those vaccines. Also, if the percentages were not that high, then I did not want to have them either."	"Neutral"
695	"Yes, the side effects and effectiveness. I have an auto-immune disorder so the side effects are of concern. I would characterize it as a passive search."	"Neutral"
696	"I looked at things that effected the heart"	"Neutral"
697	"Most of the negative symptoms seemed pretty easy to deal with and were kind of expected (things like drowsiness, muscle pain, etc). The only thing that would make me less likely to select a vaccine would be if it seemed ineffective enough that by waiting longer before being vaccinated a more effect vaccine would likely be produced. Although the safety of the vaccine itself didn't seem important, the way it interacted with a potential future vaccine was unclear, leading me to avoid it"	"Neutral"
698	"null"	"Anti"
699	"depending on the effectiveness and if side effects were severe or not"	"Pro"
700	"null"	"Pro"
701	"Side effects were my first thing I looked at no matter what. Everything else was minor compared to that and the frequency of the side effects."	"Anti"
702	"I looked at the type of vaccine and the side effects mostly. My choice was always no, however, because I feel that there are still many things that we do not yet know about COVID-19 and the vaccinations."	"Neutral"
703	"I focused on the percent of effective protection against covid.  The side effects are relatively low, but I only would consider a vaccine that could provide me with 90%+ effective immunity"	"Neutral"
704	"I tried to think of what side effects I would be OK with having. Being tired or slight pain seemed fine. But things that would make my body behave differently seemed scary. \n\nThe country of origin, mostly China, made me a bit more skeptical."	"Pro"
705	"I would not want an mRNA vaccine."	"Anti"
706	"null"	"Neutral"
707	"the prevalence of the various side effects. How serious the different side effects were. How the vaccine was made and how it works. Where the vaccine was made."	"Anti"
708	"No. It was positive."	"Neutral"
709	"I mostly based my decisions on the risks of getting the vaccine."	"Anti"
710	"To see which ones were the safest. I searched moderately."	"Neutral"
711	"null"	"Neutral"
712	"no. i don't know how i would characterize it. cautious i guess."	"Neutral"
713	"it was easy cause im against vaccination"	"Anti"
714	"Yes, there were a few important things I looked at when doing the choice task. The first thing was based on the Country that produced the vaccine, I would be much more willing to take an United States made vaccine than one from China for example. Next I looked at the % chance of the negative outcomes, if they were very small I would be more likely too take it. One last thing I looked at was the success rate, if it was low (50% success rate for example) I would definitely not want to take that vaccine."	"Anti"
715	"I'm against all of the covid-19 vaccines and see no reason to get them. I've had covid once for sure (possibly twice) and it was no worse than a cold. I don't need a vaccine for a cold."	"Anti"
716	"I will generally not get a covid vaccine no matter what, but any \side effects\ that damage your heart or nervous system is automatically ruled out.  Also I would not want something out of india or china."	"Anti"
717	"I just thought about how much I wouldn't want to deal with the symptoms and whether or not I felt the vaccine was worth after having COVID. My search behavior was more about how well I felt the vaccine would protect me given my age and health. I thought about the symptoms and my previous COVID infection, too."	"Neutral"
718	"I checked mostly for severe health consequences related to the heart muscle or severe headaches. I also checked the efficiency of each vaccine in preventing Covid. Since each vaccine had side effects, it would be pointless to endure the side effects and still not be fully protected."	"Pro"
719	"Nothing really specific"	"Neutral"
720	"Effectiveness and what country it was made in."	"Anti"
721	"I FIRST looked at the percentages for the side effects, then determined if they were worth risking the percentages for the protection."	"Anti"
722	"My main priority was the effectiveness of the vaccine"	"Pro"
723	"I based my choice of vaccine based on how severe the side effects are and the effectiveness against severe covid symptoms"	"Pro"
724	"I looked at the information provided. The vaccine, the company the country, what type, and effectiveness. I followed the instructions.\n\n I tested regularly throughout covid. I had one vaccine given to me at Boston Medical, (I was there for an x-ray and they just gave me the vaccine) I trust and do what Doctors tell me, they were giving the vaccine to everyone in the ER that night. Just before the world shut down for Covid. I guess it must have been March 2020. There was no vaccine yet according to the News, but they were giving vaccines to everyone during that time. My Doctor promised me that I would not get the corona virus. My job shut down and I went traveling. I tested every few months, always negative. Finely it got me, Jan 28, 2022. I think I got it from a travel employee who checked my travel ticket. He had watery eyes, and I thought he looks like he has a fever. Then the next day, I tested positive, I was told for the omnicrom? I do not know the spelling. I was in isolation for ten days they said. Mostly  I felt tired, and mild regular flu symptoms. They tested me after 7 days. I was negative and free to go. I imagine that all of the vaccines are good but they are also bad. Mostly I am slightly afraid of the side effects. I did not get sick the entire time, then when I got sick it was mild. I still wear my mask on public bus. But most people where I am do not use their mask. I feel great. And I pray that the virus may be under control. That we as a world can move away from a pandemic that shut down our jobs and our world. Yet, I did enjoy aspects of covid. Like isolation, and staying home resting, I used the time to travel and I had a good time. I feel sorry for families that lost loved one's. I am lucky I did not lose anyone. I just want for the covid drama to be over. I do not want to contaminate my biological unit with any stuff. I mean tell me whatever about any vaccine, but I have always taken vaccines for everything, whenever instructed to. But covid vaccine creeps me out. I do not why."	"Anti"
725	"There were no specific reasons, other than that I won't ever get vaccinated because I don't trust anything that the U.S. government deems safe and I won't pay to not receive a vaccine. Good luck to whoever tries to force me to get one."	"Anti"
726	"I looked at all the information provided to make as choice. It was good to know regardless, even though I do not consider taking newer vaccines less than 20 years old unless the disease has at least a proven 25% mortality rate."	"Anti"
727	"Asked my doctor."	"Neutral"
728	"A vaccination for anything, Covid or whatever disease, should not have any adverse affects\/effects to a person, period. If it's the correct vaccination, there would be no side effects. It would kill off the disease\/germ\/bacteria before it caused a problem with anything, it would only attack what it needs to attack without causing symptoms or death. Scientist have people believing that side effects are the norm for vaccinations, well it's not. The statistical numbers are a bunch of bullshit too... I had friends to die in my community from taking the vaccines and boosters and had some contracted heart problems and weaknesses and were healthy people. The one's of us that have not been vaccinated have not died or had any worse side effects than having a cold or flu. I know for a fact that Covid is real, I seen people catch it and I have seen the aftermath. \nAnother reason that I will not take it, I had to take a flu shot because I was working at a nursing home, back 15 or so years ago and I contracted bronchitis and I had it really bad for two weeks and thought I was going to die. I had never been sick in my life with flu or anything and after I got over that, I have never had another flu shot and I will not get another vaccine for it. I rarely ever get sick and it's because I know how to use common sense by wearing a mask and keeping things clean and avoiding people."	"Anti"
729	"I did not search for information"	"Anti"
730	"I clicked on your little black squares because you asked me too. My answer is NO no matter fucking what. The day I find out we will be required to pay to not be vaccinated is the day I look up how to build a ghost gun. Anyone comes near me with that poison shit, guess what."	"Anti"
731	"no"	"Neutral"
732	"No. I simply will not be vaccinated against CoVid."	"Neutral"
733	"I looked at each piece of info for every vaccine."	"Anti"
734	"I looked all of the information provided and then made a decision"	"Neutral"
735	"I looked online and asked my family and friends."	"Neutral"
736	"I mean in general there was no information that could have been there to convince me to get any of those vaccines I would rather just get covid and have real lasting immunity, I'm young and healthy so covid is not something I need to be worried about, I'm not an obese cancer patient."	"Anti"
737	"Likelihood of severe health problems greatly affected how I searched"	"Neutral"
738	"there weren't  any specific reasons for how I searched"	"Neutral"
739	"no. I just checked left to right."	"Neutral"
740	"The severity and number of people to get the side effects compared to the percentage of protection the vaccine provided. The old risk vs reward."	"Neutral"
741	"No, I was just looking at potential side effects. I believe the side effects are more common than is reported."	"Neutral"
742	"I have not been vaccinated again COVID. I, however, did get it. My flu was worse than Covid. I have heard many bad things about people who got vaccinated. I Think I'll take my chances."	"Anti"
743	"No specific reasons-- I simply tried to obtain as much info as possible."	"Pro"
744	"I have searched for side effects from individuals and on cdc.gov, and they are too severe for me to willingly take an mrna vaccine or johnson & johnson vaccine.  I have also listened to the testimonies of many doctors and nurses who are against the vaccine."	"Anti"
745	"I just checked on effectiveness and side effects. I wanted the maximum effectiveness and less side effects."	"Neutral"
746	"I just went left to right through the information. I mostly was able to decide on the effectiveness section, but switching the sections back and forth kept things exciting!"	"Neutral"
747	"just regular look up"	"Neutral"
748	"Mostly looked for severity of side effects and effective rate."	"Neutral"
749	"I checked for %s against the severity of benefit or risk"	"Neutral"
750	"I didn't trust the timeline that it took to make the vaccine."	"Anti"
751	"I specifically was looking for rate of prevention from getting COVID-19."	"Anti"
752	"The percentages and the efficacy of preventing COVID were more important to me than the side effects."	"Pro"
753	"I did not have any specific reasons; I viewed the stats of the risks objectively alongside the country of origin in a pragmatic manner."	"Neutral"
754	"No"	"Neutral"
755	"I wanted to avoid severe side effects and vaccines produced in certain manners or in certain countries."	"Neutral"
756	"I am nervous of the side effects"	"Neutral"
757	"I viewed each of the bars with information"	"Neutral"
758	"the higher the percentage it prevented me from dying is something i preferred. higher chance of protecting me for severe corona was preferred too. I don't want to deal with bad and uncomfortable side effects so that was also something that helped me choose my choice."	"Neutral"
759	"I characterize my search behavior on how the vaccines will not only affect my overall health from a short-term basis but also long-term."	"Anti"
760	"percentage of death and severe side effects."	"Pro"
761	"null"	"Pro"
762	"I searched the information and I decided on which vaccines has the highest percentages effectiveness against getting severe covid and which had the highest percentage rate effectiveness against death. The immediate side effects was an factor but wasn't the main factors. My search behavior was mainly based on preventing severe infection and death."	"Neutral"
763	"What I felt was important to know first"	"Neutral"
764	"There were not specific reasons."	"Anti"
765	"I looked at the side affects and then decided that those numbers were incorrect and made my decision"	"Anti"
766	"I got research from reputable sources."	"Neutral"
767	"I do not believe that a vaccine this new should be received by force at all, so I am against all of them."	"Anti"
768	"Biggest concern was severe side effects"	"Anti"
769	"Nothing too serious besides a couple of the side effects about the heart.\nContent."	"Neutral"
770	"null"	"Anti"
771	"I looked at all of the information, from left to right."	"Pro"
772	"I focused primarily on the effectiveness and the prevalence of severe side effects."	"Neutral"
773	"I began with the percentages. Then, I considered the possible side effects\/risks they would cause, taking into account the country of origin."	"Neutral"
774	"I looked at all of the information presented in the choice task. My search behavior is being thorough. Thank you, and have a nice day!"	"Anti"
775	"I made sure to see what the side effects were and how severe they were"	"Pro"
776	"I looked at which vaccines would have the most protection"	"Anti"
777	"null"	"Neutral"
778	"If it had a high percentage of preventing severe covid with little side effects, I liked that vaccine as a choice."	"Neutral"
779	"just followed the instructions to do this task"	"Neutral"
780	"null"	"Pro"
781	"I was assessing the effect first. If it was severe, I would check how often it happens. If not, I would not worry about numbers. I would then look at how well it protects from COVID and decide which is greater - risk or benefit"	"Neutral"
782	"I evaluated the effectiveness, as well as the side effects mostly."	"Neutral"
783	"Yes. Side effects"	"Anti"
784	"I HATE VACCINES"	"Neutral"
785	"I just looked at all the stats and decided. Country of origin played a factor. I refused to take a vaccine made in China since they created the pandemic."	"Neutral"
786	"I looked mainly at the effectiveness of the vaccines when making my decisions."	"Neutral"
787	"I will not be getting any of the vaccines for something that White Claw can take care of."	"Neutral"
788	"I would mostly pay attention to risks and percentage of people that caught those risks."	"Neutral"
789	"I wouldn't take any vaccine made in China"	"Neutral"
790	"The only reason I thought about while making my selections was how bad were the health risks"	"Neutral"
791	"There were no specific reasons. I just looked at all the information and made a choice from that."	"Anti"
792	"concerned with side effects and overall safety"	"Neutral"
793	"I looked at symptoms that would have long term effects vs short term."	"Neutral"
794	"null"	"Pro"
795	"to be honest i got completely lost but i fell like i caught on once i started doing the actual task. the introduction is a bit confusing"	"Anti"
796	"I would only get the novavax because it is a more conventional vaccine made in the US"	"Anti"
797	"I watch the news, read CDC guidelines and tests, and read articles."	"Anti"
798	"no i am just against it"	"Anti"
799	"I'm young & healthy enough where I'm willing to take the hit from the disease itself instead of risking bad side effects from a vaccine. I looked for effective vaccines that had only mild to moderate risks, and preferably weren't mRNA viruses."	"Anti"
800	"I didn't have to do much searching...the information was all right there. The bit about how much I'd pay to not be vaccinated was a bit weird...to think of paying someone to not take a vaccine...weird and not playing that one. And while I can appreciate that you're using all the latest and greatest information provided by vaccine manufacturers and the CDC and whatever other official sources you used, I don't buy their data. It's way too easy to find information that entirely disassembles those figures. It's all very deceptive. I got the Pfizer shot because I had to to keep my job. That is coercion."	"Anti"
801	"Admittingly, The origin of country played into my decisions as well as familiarity. I would characterize my search behavior as one that tried to utilize the information but also utilized my \gut instinct\."	"Neutral"
802	"i looked at side effects. i am exceedingly worried about attacks on the heart, CNS, or immune system."	"Anti"
803	"I ruled out mRNA vaccines, which allowed me to focus on the other types. I will never get an mRNA vaccine."	"Neutral"
804	"No, I did not search for any information. I am against the Covid vaccines and will not get them."	"Anti"
805	"I'm unsure how to answer this question but I made my choices by weighing the positive and negative date given for each vaccination"	"Anti"
806	"I just swept through all the information presented with the hovering options, to get a fuller picture."	"Neutral"
807	"I took into account the severity of the possible side effects first and then the average amount of people who experienced them. Only after that did I look at how effective the vaccine was"	"Anti"
808	"I first looked for the technology for the vaccine was based. I looked at the side effects. The side effects that could affect the heart and immune system or possibly cause blood clots were much more negative than did those that might cause headaches, pain and tiredness. Also, protection against death from Covid was much more important than protection from infection and severe causes of Covid."	"Neutral"
809	"Became obsessed with drug-free bodybuilding and powerlifting in my teens. This led to decades of (ongoing) obsessive study on subjects like health and nutrition. I knew that germ theory is largely pseudoscienfiic nonsense long before this whole covid-19 scam began. One can go all the way back to Pasteur vs Bbechamp, where you'll quickly learn that Pasteur was little more than a fraud and a thief. Or, you can choose to look at more recent works like \Immunizations the Reality Behind the Myth\ or the myriad of other books that draw basically the same conclusions based on real world evidence. Either way, you eventually come to the same conclusion; there is no such thing as a safe or effective vaccine. The english language does not provide words fitting to convey just how deeply I distrust any information coming from large pharmaceutical companies. Allopathic medicine is one of the most perverse and evil creations we have ever brought about. It has caused more death and misery than anything else in this world (with the possible exception of the garbage many people tend to eat and drink these days)."	"Anti"
810	"I knew alot about the vaccines because what I had heard on the news and I researched each one."	"Anti"
811	"Just trying to be prepared for the worst, hoping for the best."	"Neutral"
812	"no not really"	"Neutral"
813	"I first looked at effectiveness of the vaccine and then the side effects from the vaccine. If the effectiveness was low and had bad side effects, no way!"	"Anti"
814	"did not search for information about the vaccines"	"Neutral"
815	"I looked at everything possible. I also put extra weight on potential for neurological or nerve damage, as I am high risk for those outcomes."	"Anti"
816	"I researched all the available information about the vaccines in the choice task. I first looked at the type of vaccine it was, believing that the mMRD, the effectiveness against death from covid, then against infection, then severe infection, then looked at the symptoms, and how many people were affected."	"Anti"
817	"I first looked at what the side effect or benefit was, and then looked at the percentage of occurrence. What the potential side effect was is my main concern. I didn't pay a lot of attention to the risk of that side effect because I don't believe the numbers are accurate. I looked at each benefit, but I don't really care. I haven't gotten covid, but I'd be fine if I did, so wasn't overly concerned about the alleged benefit of the vaccine against death or severe covid. I feel safer getting covid than getting an untested, unknown vax."	"Anti"
818	"I looked at all information presented as that is the wise thing to do in virtually any and all situations of any kind."	"Anti"
819	"I didn't do any searching for information other than the info that was provided by you guys during this survey."	"Pro"
820	"My main concern was side effects. That is the first thing I checked for. I then looked for protection against death and thirdly what type of vaccine it was. The country was slightly important ."	"Anti"
821	"never vaccinated for anything"	"Anti"
822	"Risks and Benefits compared to my own personal risk of ever possibly even getting it or feeling any of its symptoms."	"Anti"
823	"I read everything."	"Anti"
824	"null"	"Anti"
825	"NO"	"Neutral"
826	"No.  I generally just looked t all the info."	"Anti"
827	"I searched for heart conditions as side effects, as I have read about that. I am skeptical of the vaccine, as many vaccinated people contract COVID-19. I've never had it. Or if I did, it was so mild I didn't notice."	"Anti"
828	"I looked into side effects as those will always outweigh the effects of Covid19 so at least you could choose what you feel."	"Neutral"
829	"I've never been aware of a vaccine being rapidly developed for a dangerous virus before. I'm naturally skeptical and on guard so regardless of who developed the vaccine or which president was urging me to get vaccinated I plan on waiting until the known issues with the vaccines have been worked out then I will get vaccinated."	"Anti"
830	"null"	"Anti"
831	"I just went in order."	"Neutral"
832	"I was looking at the side effects vs efficacy of the vaccine. If the side effects are severe and can cause death, I don't want the vaccine at all. IF the side effects are relatively mild, and the efficacy is high, then the vaccine is worth getting."	"Anti"
